cluster,total,test_count,train_count,myval_count,mytest_count,pos_count,neg_count,mean_topk,test_fraction
11,460,25,248,15,172,103,332,0.5783116,0.05434782608695652
0,297,11,179,10,97,142,144,0.43305588,0.037037037037037035
3,435,16,214,16,189,96,323,0.49848208,0.0367816091954023
6,242,7,143,15,77,114,121,0.44896406,0.028925619834710745
10,220,6,131,17,66,57,157,0.40707293,0.02727272727272727
2,473,12,222,22,217,155,306,0.47428006,0.02536997885835095
8,516,12,255,26,223,202,302,0.5025112,0.023255813953488372
12,478,10,245,19,204,309,159,0.58435863,0.02092050209205021
5,1479,24,810,47,598,989,466,0.75242925,0.016227180527383367
9,319,5,143,18,153,152,162,0.475656,0.01567398119122257
1,400,6,236,22,136,217,177,0.46704465,0.015
7,1141,16,535,19,571,237,888,0.5763623,0.014022787028921999
13,743,9,505,25,204,520,214,0.66047084,0.012113055181695828
14,674,6,251,17,400,309,359,0.5037062,0.008902077151335312
4,688,6,364,10,308,226,456,0.48433185,0.00872093023255814
15,678,5,299,34,340,246,427,0.49212956,0.007374631268436578
